,car_id,marke,modell,preis,kilometer
6084,5bb4086c-fb73-409b-81e2-5d4dcc3d3fe8,Volkswagen,Golf,16.430 €,88.000 km
6085,8d286ed5-f8a8-468c-816e-39fc59c883a4,Mercedes-Benz,E 250,17.900 €,87.653 km
6086,906db8f5-19e6-48c0-a1fc-d4e7eea2becf,Mercedes-Benz,E 350,23.332 €,96.850 km
6087,8eae5ce4-f810-4e44-914d-7d5a7a356e57,Volkswagen,Golf,12.950 €,84.500 km
6088,74ba4cad-5096-47e5-8ce6-de59b9faf88b,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6089,5808ddb7-dd8f-4927-b078-8c619be2025f,Volkswagen,Sharan,18.890 €,89.500 km
6090,4620a3f3-53ca-4eb7-895f-b9201f734c9f,Skoda,Scala,29.990 €,10 km
6091,8d287c37-277c-43cf-97df-91575452779a,Volkswagen,Passat Variant,15.000 €,100.000 km
6092,7182ce22-8fa0-47ee-b480-d9c5f726fb55,,,,
6093,cc9d9a91-667e-4d6e-be4e-83e230636774,Volkswagen,Golf,16.900 €,81.000 km
6094,81b0a8d2-77dd-4ed7-a9ca-ab01bbd524fc,Chevrolet,Chevy Van,22.950 €,177.000 km
6095,404b8c0d-f2a2-42b6-8eda-344a4fdd903d,Volkswagen,T5 Transporter,21.900 €,80.500 km
6096,40c994ca-85c7-4b4e-9dfa-566690d354ca,Volkswagen,Beetle,15.985 €,94.500 km
6097,d0656404-f5ba-470a-90db-07d6386f4265,Volkswagen,Golf,10.900 €,85.000 km
6098,34c9a236-4b80-489b-8929-43b9f7f7a819,Audi,A3,16.490 €,85.051 km
6099,31e7ba18-e88b-44da-a186-9101c2994859,Volkswagen,CC,15.500 €,91.000 km
6100,d8af72e2-03db-4825-994d-2bd6f2f4f96c,,,,
6101,d72fcac8-c4c8-423c-a172-5aee1cf598d0,Volkswagen,Golf,14.900 €,93.500 km
6102,bd6b9e8e-04da-4a6e-b042-f093e0489968,Audi,A4,17.990 €,96.500 km
6103,52959b1a-d576-4ca5-a9aa-efdbe10c8483,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6104,c14986e2-d9f8-4392-a59c-d7105652d7d6,Volkswagen,T5 Transporter,21.900 €,80.500 km
6105,0fdeaca0-f1f2-47c6-be58-3a588d14636c,Volkswagen,Golf,26.990 €,99.980 km
6106,eb4fa225-f21b-4a64-9ade-44943e6bc235,Volkswagen,Golf,10.990 €,81.576 km
6107,efe10e19-84e9-416f-b3b2-afa29922506f,Volkswagen,Passat Variant,15.000 €,100.000 km
6108,fc5652b1-b6f1-45d6-b77d-59c6257d94c1,Volkswagen,Golf,14.900 €,93.500 km
6109,4ea80839-18fa-43e5-a22b-94d97d9dbcca,Volkswagen,Golf,26.990 €,99.980 km
6110,fbd4864c-d600-4d6c-846b-d6302928e8a6,Audi,A4,17.990 €,96.500 km
6111,ac374672-acf7-4cb6-97df-a658351e0491,Volkswagen,Golf,10.990 €,81.576 km
6112,bfb98f76-4bc0-4c07-89ba-d853016716ee,BMW,320,14.749 €,94.505 km
6113,8a5ef054-efd3-4f16-b51a-1cdbbdb7cc7a,Volkswagen,Golf,10.990 €,81.576 km
6114,1cb91871-fd6e-405a-b1c1-3cc0ce9e04bb,Mercedes-Benz,GLA 220,29.879 €,84.848 km
6115,99eb62dd-4c2b-4c76-b027-3951c8fc2680,Volkswagen,Beetle,15.985 €,94.500 km
6116,00b7cd09-87c1-44d9-a536-fc8b9d5e2cb4,Volkswagen,Golf,26.990 €,99.980 km
6117,c5697cb8-a6df-44cb-b430-88975d8c8555,BMW,530,21.990 €,91.812 km
6118,e0f070b1-80d5-40fe-a4f0-b1a0111dd42f,Mercedes-Benz,E 350,23.332 €,96.850 km
6119,d859b4cf-ac9c-45f7-9d89-1befe15b0be8,Volkswagen,Tiguan,7.999 €,184.000 km
6120,dfde0a49-78af-418a-a1c2-adee2f37d5f0,Volkswagen,Golf,12.950 €,84.500 km
