,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
2037,6833d5d0-8960-41e7-aab1-4386cf793ca9,02/2014,Benzin,Schaltgetriebe,162 kW (220 PS),1.984 cm³,Weiß Metallic
2038,7b23fccf-9206-4791-9ce0-8b03add6bb03,09/2013,Benzin,Automatik,90 kW (122 PS),1.395 cm³,Blau Metallic
2039,9958d582-5ef7-43b5-8390-67b5272979b1,05/2012,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Silber Metallic
2040,72b97e0a-7794-43fd-8b5e-3a92241fadfa,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2041,deb77476-59bb-4c09-9c56-d6b9ea12ed4e,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2042,1e0eed76-3260-46cb-b6b8-eb22bead215c,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
2043,3f851bea-ff49-424b-b381-d8dad7e741f3,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
2044,c7ede731-dbea-4e31-afe4-154b1445399b,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2045,e5a69c5b-bf3b-469e-8286-2e73edf01cae,,,,,,
2046,92697c2d-3638-4d05-8591-6a4c250075b5,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2047,0f19a882-6f33-4c57-947e-2d23a88a248d,,,,,,
2048,dce96d30-192e-4708-b848-260403c2f581,11/2011,Diesel,Automatik,135 kW (184 PS),1.995 cm³,Schwarz Metallic
2049,ee5cde64-b50f-4958-90c8-8c2e9fa6018d,10/2014,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2050,586b6e99-a938-4ab8-a0bc-bef38010267d,05/2012,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Silber Metallic
